City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Talnakh,RU,2022-05-01 21:23:47,69.4865,88.3972,15.44,96,100,5.12
121,Port-Cartier,CA,2022-05-01 21:23:48,50.0334,-66.8654,57.31,76,78,7.16
122,Provideniya,RU,2022-05-01 21:23:49,64.3833,-173.3,27.77,65,23,12.57
123,Svetlogorsk,BY,2022-05-01 21:23:49,52.6333,29.7333,43.47,91,44,5.08
124,Norman Wells,CA,2022-05-01 21:23:50,65.282,-126.8329,50.04,40,75,20.71
125,Kuala Terengganu,MY,2022-05-01 21:23:50,5.3302,103.1408,78.75,94,20,2.3
126,Nicoya,CR,2022-05-01 21:23:51,10.1483,-85.452,88.54,56,100,4.68
127,Marshall,US,2022-05-01 21:23:51,34.3834,-86.3333,82.38,53,40,9.22
128,Montgomery,US,2022-05-01 21:23:52,39.1501,-77.1997,60.22,94,75,3.44
129,Arcelia,MX,2022-05-01 21:23:52,18.2833,-100.2667,103.15,11,55,5.32
130,Bogovarovo,RU,2022-05-01 21:23:53,58.9785,47.0246,31.19,96,80,4.94
131,Jiwani,PK,2022-05-01 21:23:53,25.05,61.7417,84.2,68,0,24.96
132,Waipawa,NZ,2022-05-01 21:23:54,-41.4122,175.5153,59.36,74,100,13.42
133,Vila Velha,BR,2022-05-01 21:20:41,-20.3297,-40.2925,82.35,69,0,9.22
134,Jamestown,US,2022-05-01 21:24:54,42.097,-79.2353,55.94,93,100,11.5
135,Lorengau,PG,2022-05-01 21:24:55,-2.0226,147.2712,80.64,81,82,4.88
136,Shannon,IE,2022-05-01 21:24:55,52.7039,-8.8642,52.14,87,75,4.61
137,Alice Springs,AU,2022-05-01 21:24:56,-23.7,133.8833,56.75,67,16,6.91
138,Japura,ID,2022-05-01 21:24:56,-0.3167,102.35,74.1,97,100,2.19
139,Athabasca,CA,2022-05-01 21:24:57,54.7169,-113.2854,41.41,77,100,14.54
140,Port Hardy,CA,2022-05-01 21:24:58,50.6996,-127.4199,53.78,58,100,8.05
141,Bowen,AU,2022-05-01 21:24:58,-20.0167,148.2333,69.01,89,28,9.19
142,Kamaishi,JP,2022-05-01 21:24:59,39.2667,141.8833,45.37,87,2,4.41
143,Mayumba,GA,2022-05-01 21:25:00,-3.432,10.6554,78.53,92,98,7.36
144,Kroya,ID,2022-05-01 21:25:00,-7.6331,109.2461,77.25,89,42,2.8
145,Loreto,MX,2022-05-01 21:25:01,22.2667,-101.9667,82.99,11,91,15.99
146,Baruun-Urt,MN,2022-05-01 21:25:01,46.6806,113.2792,46.65,64,49,8.97
147,Kofele,ET,2022-05-01 21:25:02,7.0667,38.7833,50.99,79,91,5.68
148,Nizhniy Kuranakh,RU,2022-05-01 21:25:03,58.8353,125.4869,36.81,97,100,10.07
149,Alekseyevskoye,RU,2022-05-01 21:25:04,55.3071,50.1135,37.04,63,7,7.07
150,Chongqing,CN,2022-05-01 21:25:05,29.5628,106.5528,58.23,88,100,4.47
151,Coihaique,CL,2022-05-01 21:25:05,-45.5752,-72.0662,51.75,66,40,3.44
152,Pisco,PE,2022-05-01 21:25:06,-13.7,-76.2167,69.85,68,0,18.41
153,Xining,CN,2022-05-01 21:22:40,36.6167,101.7667,34.81,68,2,2.64
154,Ancud,CL,2022-05-01 21:25:06,-41.8697,-73.8203,53.46,86,67,6.38
155,Saint-Philippe,RE,2022-05-01 21:25:07,-21.3585,55.7679,74.21,84,3,3.18
156,Floro,NO,2022-05-01 21:25:08,61.5996,5.0328,44.96,76,75,9.22
157,Agadir,MA,2022-05-01 21:25:08,30.4202,-9.5982,64.85,60,0,0.74
158,Fayaoue,NC,2022-05-01 21:25:09,-20.65,166.5333,77.95,85,86,16.75
159,Toledo,ES,2022-05-01 21:25:09,39.8333,-4.0,67.32,55,24,3.49
160,Anito,PH,2022-05-01 21:25:10,12.4497,125.2886,78.1,87,100,5.68
161,Port Blair,IN,2022-05-01 21:25:11,11.6667,92.75,82.72,74,100,3.85
162,Namibe,AO,2022-05-01 21:21:18,-15.1961,12.1522,75.27,63,17,3.87
163,Quesnel,CA,2022-05-01 21:25:11,52.9999,-122.5029,61.3,36,0,10.36
164,Huarmey,PE,2022-05-01 21:25:12,-10.0681,-78.1522,70.14,77,60,10.58
165,Georgetown,MY,2022-05-01 21:25:12,5.4112,100.3354,82.33,92,20,3.44
166,Dunedin,NZ,2022-05-01 21:25:13,-45.8742,170.5036,54.7,74,11,3.53
167,Ambon,ID,2022-05-01 21:25:13,-3.6954,128.1814,77.14,94,40,8.05
168,Deputatskiy,RU,2022-05-01 21:25:14,69.3,139.9,23.09,83,91,4.45
169,Palauig,PH,2022-05-01 21:25:14,15.435,119.9045,80.64,74,99,4.74
170,Khasan,RU,2022-05-01 21:25:16,42.4308,130.6434,39.61,69,78,6.04
171,Kavieng,PG,2022-05-01 21:23:13,-2.5744,150.7967,82.44,76,44,8.21
172,Adrar,MR,2022-05-01 21:25:16,20.5022,-10.0711,82.87,11,0,11.81
173,Pangnirtung,CA,2022-05-01 21:25:17,66.1451,-65.7125,29.8,96,100,6.58
174,Peniche,PT,2022-05-01 21:25:19,39.3558,-9.3811,60.3,78,76,16.62
175,Constitucion,CL,2022-05-01 21:25:19,-35.3333,-72.4167,56.75,69,100,13.0
176,Vestmannaeyjar,IS,2022-05-01 21:25:20,63.4427,-20.2734,44.74,56,100,14.23
177,Ahipara,NZ,2022-05-01 21:25:20,-35.1667,173.1667,62.58,78,100,6.82
178,Torbay,CA,2022-05-01 21:25:21,47.6666,-52.7314,49.28,85,75,6.91
179,Jijiga,ET,2022-05-01 21:25:21,9.35,42.8,67.28,75,100,3.83
180,Concarneau,FR,2022-05-01 21:25:22,47.875,-3.9225,56.19,85,100,8.48
181,Ponta Do Sol,PT,2022-05-01 21:22:27,32.6667,-17.1,66.7,70,0,4.45
182,Mar Del Plata,AR,2022-05-01 21:26:22,-38.0023,-57.5575,53.62,82,75,15.99
183,Klyuchi,RU,2022-05-01 21:26:23,52.2667,79.1667,64.45,70,100,10.71
184,Severnoye,RU,2022-05-01 21:26:24,56.3491,78.3619,37.24,63,92,7.87
185,Kachug,RU,2022-05-01 21:26:25,53.9606,105.8817,51.15,83,100,1.14
186,Cabedelo,BR,2022-05-01 21:26:25,-6.9811,-34.8339,79.47,82,20,11.34
187,Labuhan,ID,2022-05-01 21:26:26,-6.8844,112.2051,78.67,86,100,9.24
188,Tucurui,BR,2022-05-01 21:26:26,-3.7661,-49.6725,77.29,91,84,2.91
189,Rawatsar,IN,2022-05-01 21:26:27,29.2833,74.3833,87.53,20,0,10.25
190,Axim,GH,2022-05-01 21:26:27,4.8699,-2.2405,80.64,83,65,7.43
191,Jumla,NP,2022-05-01 21:26:28,29.2747,82.1838,50.45,82,76,3.51
192,Grimshaw,CA,2022-05-01 21:26:29,56.1834,-117.6027,38.82,87,100,8.05
193,Kodiak,US,2022-05-01 21:26:29,57.79,-152.4072,42.31,81,100,19.57
194,Fortuna,US,2022-05-01 21:26:30,40.5982,-124.1573,63.93,67,0,14.97
195,Ponta Delgada,PT,2022-05-01 21:21:52,37.7333,-25.6667,66.51,82,40,6.91
196,Ust-Kulom,RU,2022-05-01 21:26:31,61.6864,53.6902,23.25,94,67,2.82
197,Chake Chake,TZ,2022-05-01 21:26:31,-5.2459,39.7666,76.78,89,100,12.15
198,Patancheru,IN,2022-05-01 21:26:31,17.5314,78.265,86.86,25,100,8.48
199,Sao Joao Da Barra,BR,2022-05-01 21:26:32,-21.6403,-41.0511,78.89,79,2,11.72
200,Olafsvik,IS,2022-05-01 21:26:33,64.8945,-23.7142,35.49,63,17,19.55
201,Comodoro Rivadavia,AR,2022-05-01 21:23:04,-45.8667,-67.5,51.66,76,40,5.75
202,Saldanha,ZA,2022-05-01 21:26:33,-33.0117,17.9442,55.45,85,0,10.78
203,Sikonge,TZ,2022-05-01 21:26:34,-5.6333,32.7667,66.36,90,100,3.94
204,Formiga,BR,2022-05-01 21:26:35,-20.4644,-45.4264,70.27,56,48,2.53
205,Mahajanga,MG,2022-05-01 21:26:35,-15.7167,46.3167,78.82,73,20,3.44
206,Kysyl-Syr,RU,2022-05-01 21:26:36,63.8986,122.7617,19.22,86,100,16.71
207,Vila,PT,2022-05-01 21:26:36,42.0304,-8.1588,45.7,84,11,2.3
208,Saravan,AM,2022-05-01 21:26:37,39.7196,45.6483,47.28,85,99,6.04
209,Porto Novo,BJ,2022-05-01 21:26:39,6.4965,2.6036,84.02,77,100,5.59
210,Tsiroanomandidy,MG,2022-05-01 21:26:39,-18.7667,46.0333,60.85,82,2,2.62
211,Bengkulu,ID,2022-05-01 21:26:40,-3.8004,102.2655,76.03,88,97,4.7
212,Chengde,CN,2022-05-01 21:26:40,40.9725,117.9361,46.42,57,6,2.55
213,Avarua,CK,2022-05-01 21:26:41,-21.2078,-159.775,82.45,78,75,6.91
214,Palmer,US,2022-05-01 21:26:42,42.1584,-72.3287,70.41,23,20,4.61
215,Aklavik,CA,2022-05-01 21:26:42,68.2191,-135.0107,39.61,81,35,15.35
216,Lagoa,PT,2022-05-01 21:26:43,39.05,-27.9833,62.06,80,11,2.01
217,Adilcevaz,TR,2022-05-01 21:26:44,38.8039,42.7342,50.4,80,100,2.3
218,Bilibino,RU,2022-05-01 21:26:44,68.0546,166.4372,14.49,68,37,1.92
219,Maceio,BR,2022-05-01 21:21:57,-9.6658,-35.7353,80.04,78,40,6.91
220,Riohacha,CO,2022-05-01 21:23:16,11.5444,-72.9072,84.88,72,100,8.52
221,Ouallam,NE,2022-05-01 21:26:45,14.3188,2.0866,90.63,11,7,3.09
222,Nazare,BR,2022-05-01 21:26:45,-13.035,-39.0144,72.68,90,87,2.13
223,Mumbwa,ZM,2022-05-01 21:26:46,-14.9783,27.0619,58.1,71,0,4.83
224,Labuan,MY,2022-05-01 21:26:47,5.2767,115.2417,79.16,94,20,0.0
225,Sao Filipe,CV,2022-05-01 21:26:47,14.8961,-24.4956,73.69,74,0,10.09
226,Port Lincoln,AU,2022-05-01 21:27:48,-34.7333,135.8667,57.99,89,0,8.34
227,Asfi,MA,2022-05-01 21:27:48,32.2994,-9.2372,63.36,86,0,15.26
228,Mount Isa,AU,2022-05-01 21:27:49,-20.7333,139.5,69.57,68,19,10.36
229,Ginir,ET,2022-05-01 21:27:49,7.1333,40.7,58.66,87,99,3.65
230,San Cristobal,VE,2022-05-01 21:27:50,7.7669,-72.225,82.58,66,49,5.88
231,Narsaq,GL,2022-05-01 21:27:50,60.9167,-46.05,46.62,72,43,4.16
232,Airai,TL,2022-05-01 21:27:51,-8.9266,125.4092,58.1,80,72,3.58
233,Gazanjyk,TM,2022-05-01 21:27:52,39.2446,55.5154,65.26,74,100,13.31
234,Honningsvag,NO,2022-05-01 21:27:52,70.9821,25.9704,28.15,74,75,16.11
235,Coquimbo,CL,2022-05-01 21:27:53,-29.9533,-71.3436,60.53,77,0,13.8
