City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
350,Sinnamary,5.3833,-52.95,77.79,84,95,11.14,overcast clouds,GF,2022-05-02 01:01:04
351,Qom,34.6401,50.8764,64.2,52,91,1.63,overcast clouds,IR,2022-05-02 01:01:04
352,Olinda,-8.0089,-34.8553,78.15,83,38,7.56,scattered clouds,BR,2022-05-02 01:01:05
353,Sylvan Lake,52.3168,-114.0853,57.34,34,99,12.12,overcast clouds,CA,2022-05-02 01:01:05
354,Aykhal,66.0,111.5,20.79,85,21,14.94,few clouds,RU,2022-05-02 01:01:06
355,Mantua,45.1667,10.7833,56.01,85,11,1.99,few clouds,IT,2022-05-02 01:01:07
356,Ayni,39.3941,68.5377,63.73,56,100,8.68,overcast clouds,TJ,2022-05-02 01:01:07
357,Tete,-16.1564,33.5867,62.69,94,0,0.0,clear sky,MZ,2022-05-02 01:01:08
358,Cayenne,4.9333,-52.3333,82.09,6,40,7.0,scattered clouds,GF,2022-05-02 01:01:09
359,The Valley,18.217,-63.0578,79.83,81,100,17.72,overcast clouds,AI,2022-05-02 01:01:09
360,College,64.8569,-147.8028,56.59,35,100,6.8,overcast clouds,US,2022-05-02 01:01:10
361,Marawi,7.9986,124.2928,77.63,79,97,1.25,overcast clouds,PH,2022-05-02 01:01:10
362,Canutama,-6.5339,-64.3831,74.62,97,87,2.64,overcast clouds,BR,2022-05-02 01:01:11
363,Suntar,62.1444,117.6319,27.57,53,96,13.27,overcast clouds,RU,2022-05-02 01:01:12
364,Dalian,38.9122,121.6022,60.73,17,0,4.47,clear sky,CN,2022-05-02 01:01:12
365,Waingapu,-9.6567,120.2641,84.94,69,46,16.6,scattered clouds,ID,2022-05-02 01:01:13
366,Bardiyah,31.7561,25.0865,68.27,61,100,18.52,overcast clouds,LY,2022-05-02 00:59:37
367,Lorengau,-2.0226,147.2712,83.14,76,100,2.17,overcast clouds,PG,2022-05-02 01:02:13
368,Lavrentiya,65.5833,-171.0,18.9,73,11,11.5,few clouds,RU,2022-05-02 01:02:14
369,Andenes,69.3143,16.1194,33.78,93,100,9.22,overcast clouds,NO,2022-05-02 00:59:24
370,Gasa,31.5,34.4667,61.65,90,32,4.09,scattered clouds,PS,2022-05-02 01:02:15
371,Swift Current,50.2834,-107.8014,54.88,38,97,8.19,overcast clouds,CA,2022-05-02 01:00:35
372,Russell,32.3502,-85.1999,74.91,81,2,1.99,clear sky,US,2022-05-02 01:00:35
373,Santa Cruz Del Sur,20.7147,-77.9956,78.87,71,28,17.05,light rain,CU,2022-05-02 01:02:15
374,Denpasar,-8.65,115.2167,85.71,79,20,10.36,few clouds,ID,2022-05-02 01:01:01
375,Vestmanna,62.1564,-7.1664,38.32,70,75,21.85,broken clouds,FO,2022-05-02 00:59:35
376,Cochabamba,-17.3895,-66.1568,64.15,45,18,5.75,few clouds,BO,2022-05-02 01:02:16
377,Bowen,-20.0167,148.2333,78.3,72,60,15.41,broken clouds,AU,2022-05-02 01:02:16
378,Huntington Beach,33.6603,-117.9992,72.75,74,37,3.0,scattered clouds,US,2022-05-02 01:00:01
379,Fukue,32.6881,128.8419,62.96,42,100,11.54,overcast clouds,JP,2022-05-02 01:02:17
380,Waw,7.7029,27.9953,79.03,55,78,7.61,broken clouds,SS,2022-05-02 01:02:18
381,Kulhudhuffushi,6.6221,73.07,85.08,75,100,14.23,overcast clouds,MV,2022-05-02 01:02:18
382,Arman,59.7,150.1667,44.02,78,63,4.76,broken clouds,RU,2022-05-02 01:02:19
383,Nanga Eboko,4.6833,12.3667,67.8,99,95,0.63,overcast clouds,CM,2022-05-02 01:02:19
384,Tyazhinskiy,56.116,88.524,45.5,80,100,3.96,overcast clouds,RU,2022-05-02 01:02:20
385,Tucuma,-0.1833,-50.05,74.73,96,100,5.5,overcast clouds,BR,2022-05-02 01:02:21
386,Luderitz,-26.6481,15.1594,73.06,24,0,12.08,clear sky,NA,2022-05-02 01:02:21
387,Show Low,34.2542,-110.0298,68.61,12,0,31.07,clear sky,US,2022-05-02 01:02:22
388,Varangaon,21.0167,75.9,83.84,62,6,13.8,clear sky,IN,2022-05-02 01:02:22
389,Sernur,56.9333,49.1536,33.31,78,85,10.58,overcast clouds,RU,2022-05-02 01:02:23
390,Abilene,32.4487,-99.7331,79.09,55,100,17.81,overcast clouds,US,2022-05-02 01:02:00
391,Samarai,-10.6167,150.6667,82.94,74,62,8.63,broken clouds,PG,2022-05-02 01:02:24
392,Kurilsk,45.2333,147.8833,38.95,81,100,20.15,moderate rain,RU,2022-05-02 01:02:24
393,Mitsamiouli,-11.3847,43.2844,80.56,72,7,14.45,clear sky,KM,2022-05-02 01:02:24
394,Pabrade,55.0,25.7833,38.25,94,97,3.78,overcast clouds,LT,2022-05-02 00:59:14
395,Nha Trang,12.25,109.1833,84.2,78,97,3.8,overcast clouds,VN,2022-05-02 01:02:25
396,Luba,3.4568,8.5547,81.1,83,100,7.43,light rain,GQ,2022-05-02 01:02:26
397,Qesarya,32.5189,34.9046,64.96,89,97,7.92,overcast clouds,IL,2022-05-02 01:02:26
398,Akyab,20.15,92.9,81.1,75,5,2.06,clear sky,MM,2022-05-02 01:02:27
399,Kutum,14.2,24.6667,77.45,11,38,5.12,scattered clouds,SD,2022-05-02 01:02:27
400,Stony Plain,53.5334,-114.0021,52.43,88,75,9.22,broken clouds,CA,2022-05-02 01:00:20
401,Issenye,-2.0,34.3333,60.44,96,87,3.24,overcast clouds,TZ,2022-05-02 01:02:28
402,High Level,58.5169,-117.136,47.21,72,68,6.96,broken clouds,CA,2022-05-02 01:02:28
403,Pochutla,15.7432,-96.4661,82.81,62,100,4.92,overcast clouds,MX,2022-05-02 01:02:29
404,San Andres,12.5847,-81.7006,81.43,86,97,15.35,overcast clouds,CO,2022-05-02 01:02:30
405,Uribia,11.7139,-72.266,86.0,61,100,7.11,overcast clouds,CO,2022-05-02 01:02:30
406,Tiksi,71.6872,128.8694,17.17,82,60,11.01,broken clouds,RU,2022-05-02 01:02:31
407,Porto Velho,-8.7619,-63.9039,77.05,94,0,2.3,clear sky,BR,2022-05-02 01:02:31
408,Anchorage,61.2181,-149.9003,49.86,47,36,7.76,scattered clouds,US,2022-05-02 00:58:26
409,Sorland,67.667,12.6934,36.61,73,100,23.2,overcast clouds,NO,2022-05-02 01:02:32
