City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Huntington Beach,US,72.75,scattered clouds,33.6603,-117.9992,Kimpton Shorebreak Huntington Beach Resort
379,Fukue,JP,62.96,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
380,Waw,SS,79.03,broken clouds,7.7029,27.9953,Universal Gab Hotel
383,Nanga Eboko,CM,67.8,overcast clouds,4.6833,12.3667,Motel Papi Palace
387,Show Low,US,68.61,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
390,Abilene,US,79.09,overcast clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
397,Qesarya,IL,64.96,overcast clouds,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
399,Kutum,SD,77.45,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
407,Porto Velho,BR,77.05,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
411,Nouadhibou,MR,67.14,clear sky,20.931,-17.0347,El Medina
425,Guerrero Negro,MX,63.75,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
427,Los Llanos De Aridane,ES,62.35,clear sky,28.6585,-17.9182,Valle Aridane
435,Puerto Cabezas,NI,79.23,overcast clouds,14.0351,-83.3888,Cabaña Caribe
438,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
439,Boyuibe,BO,60.26,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
440,Sao Gabriel Da Cachoeira,BR,73.26,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
441,Pitimbu,BR,78.44,few clouds,-7.4706,-34.8086,Reserva do Abiaí
444,Villamontes,BO,61.05,overcast clouds,-21.25,-63.5,Hotel Raldes
448,Lebanon,US,75.42,few clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
449,Gossas,SN,73.6,clear sky,14.4912,-16.0642,Ndiayéne
454,Lazaro Cardenas,MX,79.74,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
456,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
457,North Platte,US,61.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
458,Coos Bay,US,61.32,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
462,Japura,ID,77.86,light rain,-0.3167,102.35,Rumah mbah Jamah
465,Falam,MM,71.01,overcast clouds,22.9167,93.6833,Falang Government Guesthouse
470,Rosarito,MX,66.24,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
472,Moerai,PF,77.16,light rain,-22.4333,-151.3333,Le Manotel
473,Burnie,AU,62.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
479,Seydi,TM,71.64,light rain,39.4816,62.9137,Seydi oteli
480,Oistins,BB,79.27,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
485,Rodrigues Alves,BR,77.27,broken clouds,-7.738,-72.6509,Pousada Aconchego
491,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
494,Cullera,ES,61.77,broken clouds,39.1667,-0.25,Hotel Santamarta
498,Ulverstone,AU,63.21,overcast clouds,-41.15,146.1667,Westella Colonial Bed & Breakfast
501,Trairi,BR,79.77,overcast clouds,-3.2778,-39.2689,janelas do mar
502,Jibuti,DJ,76.24,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
505,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Beach Rotana
507,Alexandria,EG,65.14,overcast clouds,31.2156,29.9553,Royal Crown Hotel
509,Kaeo,NZ,69.33,overcast clouds,-35.1,173.7833,Bushido Lodge
511,Ilhabela,BR,73.29,light rain,-23.7781,-45.3581,Ilha Flat Hotel
513,Belmonte,BR,75.88,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
515,Dunedin,NZ,65.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
516,Avon Park,US,75.78,clear sky,27.5959,-81.5062,Econo Lodge Sebring
520,Mbandaka,CD,70.57,light rain,0.0487,18.2603,Guest House Epervier
523,El Reno,US,74.41,clear sky,35.5323,-97.955,Home2 Suites by Hilton El Reno
525,Tutoia,BR,77.81,moderate rain,-2.7619,-42.2744,Pousada Guará's
526,Praia Da Vitoria,PT,61.75,clear sky,38.7333,-27.0667,Hotel Branco I
527,Annau,TM,60.3,overcast clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
530,Davidson,US,75.65,few clouds,36.1501,-86.7833,Best Western Plus Music Row
532,Natchitoches,US,73.38,overcast clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
534,Yulara,AU,66.61,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
536,Pilar,BR,75.13,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
537,Palmer,US,60.17,overcast clouds,42.1584,-72.3287,Wedgewood Motel
538,Sao Jose Da Coroa Grande,BR,77.07,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
542,Balad,IQ,70.95,clear sky,34.0164,44.1453,رضاوي زنوبة
543,Taos,US,70.2,clear sky,36.4072,-105.5731,El Monte Sagrado
544,Ruidoso,US,73.96,clear sky,33.3317,-105.673,Inn of the Mountain Gods
545,Havelock,US,69.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
549,Riachao,BR,74.98,clear sky,-7.3619,-46.6172,Pousada Nordestina
550,Rincon,US,73.83,overcast clouds,32.296,-81.2354,Days Inn Rincon
558,Korla,CN,61.18,clear sky,41.7597,86.1469,Gulisitan Hotel
563,Acarau,BR,78.22,few clouds,-2.8856,-40.12,castelo pizzaria
565,Pedernales,DO,76.08,overcast clouds,18.0384,-71.744,Hotel Costa Marina
569,Sukhothai,TH,76.89,light intensity drizzle,17.25,99.6667,ฐานทัพ4เรนเจอร์RG
570,Dawlatabad,AF,68.9,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
572,Huangchuan,CN,67.23,broken clouds,32.1272,115.0394,Guangzhou International Hotel
573,Cerqueira Cesar,BR,65.95,overcast clouds,-23.0356,-49.1661,Pousada São Jorge
575,Hun,LY,61.14,clear sky,29.1268,15.9477,Alrwasi Hotel
580,Half Moon Bay,US,74.88,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
581,Perivolion,GR,60.66,overcast clouds,39.4206,20.0147,Santa Maria
584,Jalu,LY,75.76,overcast clouds,29.0331,21.5482,صاحبة الفخامة
